"MetricId","Description","DataType","MetricFunction","MetricParameter","MetricFormat","DefaultValue","ValueType","MetricType"
MonAgentTalkDuration,Agent - Cumulative Talk Duration,User,TotalStatusGroupDuration,ONPHONE,,,String,Agent
MonAgentTalkDurationPct,Agent - Cumlative Talk Duration Percent,User,TotalStatusGroupPercent,ONPHONE,,,String,Agent
MonAgentActiveInteractionId,Agent - Active Interction ID,User,LongestInteractionId, ,,,String,Agent
QueueNumCompletedCallbacks,QM - Number of Completed Callbacks ,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Outgoing"" && IsAnswered",,,String,Agent
QueueNumAcceptedCallbacks,QM - Number of Accepted Callbacks ,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered",,,String,Agent
QueueNumIncomingOnlineCalls,QM - Number of Incoming Calls including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIncomingOnlineCallbacks,QM - Number of Incoming Callbacks including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIncomingOnlineCallsAndCallbacks,QM - Number of Incoming Calls and Callbacks including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIncomingOnlineChats,QM - Number of Incoming Chats including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIcomingOnlineInteractions,QM - Number of Incoming Interactions including Waiting,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumAbandonefCalls,QM - Number of Abandoned Calls,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonefCallbacks,QM - Number of Abandoned Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonedCallsAndCallbacks,QM - Number of Abandoned Calls and Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonedChats,QM - Number of Abandoned Chats,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonedInteractions,QM - Number of Abandoned Interactions,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumCallbackRequests,QM - Number of Callback Requests,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && IsCallbackRequest",,,String,Agent
